gene,DTB-188,PR-063,PR-038,PR-058,DTB-184,DTB-021,PR-051,PR-080
ACTR3,4.703346,12.307307,17.42067,10.879046,17.556734000000002,4.4167814,10.404567,19.141873999999998
ACTR3B,1.23539,1.4394172773,2.142834,0.888889,0.91784,0.616152,1.34544,1.348214
ACTR3C,1.2037768,2.2203600000000003,2.3320786192450003,2.0710876,2.820569,0.77264,1.7604745,2.549837
ACTR6,1.50357981,3.2365555999999995,3.1391152,2.5750477999999997,2.1209553572769004,1.1755073999999999,2.2723393763,3.0248881
ACTR8,0.8352942,3.494129,1.1887168000000001,1.4332095999999999,1.3872387000000002,2.9833142,1.24844,1.3668282
ACVR1,0.6523513,1.48879932665,2.423347,3.2083446,4.0866222,1.1109555,1.7147885999999999,2.2940878
ACVR1B,4.132099520000001,4.4532614,5.947319,2.329777,6.4927923000000005,0.5801028,1.6870036,2.3984905
ACVR2A,2.831067,4.512109,2.836252,2.158356,3.8401516899400003,2.215087,1.3183624,5.134967
ACVR2B,0.5765124,1.396063,0.42259589999999997,0.2251755,0.67984822,0.2798886,0.5914330000000001,1.5199639999999999
ACVRL1,1.5549614,1.2133101,1.5431042000000001,0.2150031,2.4756123,2.594178,1.3516269,1.3196615
ACY1,4.029101990434,20.1414604355,1.1385944000000001,3.6904656,6.7638393,3.2328924,4.2233982,6.8811131
ACYP1,4.440518800553895,10.130415,5.2266746,4.58862386,5.656465,2.735197,2.4740397,4.3277594
ACYP2,1.6989251999999997,4.268441,2.7075242000000004,5.0638075,3.104254,2.538011,4.2799807,4.1767593000000005
ADA2,3.6456475325554,1.9056346279364,1.860368800744939,0.987473000494746,4.3523334863,0.717989,2.2818332003383732,1.30746177049413
ADAL,1.7478685,1.1222531,1.8523999999999998,1.0311617,1.0809231,1.2418356,2.117642,2.6584858000000002
ADAM10,9.102624999999998,34.503218999999994,19.452146,12.8847895,22.063401400000004,5.155277399999999,16.5444902,28.864448000000003
ADAM12,0.9103908999999999,0.8224799999999999,0.2708207,0.27434210000000003,1.420974,1.7654090000000002,0.7570965,4.4123231
ADAM15,8.56795227220885,9.565516,7.0949784123,5.015191190664876,18.67735883,1.3875667100000002,5.49176680624611,8.448773150000001
ADAM17,1.0300478,1.54944,3.2149683,2.7645123,3.2813865,1.4384530000000002,2.5529560000000004,2.486504
ADAM19,0.161404,0.3085546,0.33092509999999997,0.04565980000000001,0.7073475,1.3069718,0.23478190000000002,0.27381500000000003
ADAM22,0.31775240439999997,3.58419,0.3397671,0.4712693,1.238053235,0.36934950266517,0.74209519,1.0465198
ADAM28,3.804128,7.95651,0.3704317,0.7116307000000001,1.6126122999999999,0.6765648,4.404774300000001,3.3649014
ADAM32,0.2980749,3.407747372919,1.7336415070000002,1.0371551722,1.1880861500000002,0.7697764,1.8043521719,0.9983945000000001
ADAM7,7.514668,0.27352319999999997,1.3273096,0.449823,0.453051,0.0212352,0.36987590000000004,0.4954425
ADAM9,19.907048100000004,55.962723,86.61340700000001,18.332394900000004,11.210119800000001,3.587104,10.188095299999999,7.822913000000001
ADAMTS1,0.8753930000000001,2.452944665,2.596007,1.09256,14.178505999999999,5.955777,0.851449,5.940158
ADAMTS12,0.1285671,0.3125651,0.18733360000000002,0.28409819999999997,0.400528,0.00139489,0.1226894,0.24831119999999998
ADAMTS3,1.2602829999999998,2.6146290000000003,0.0347445,0.00190537,0.312185,0.06410203,0.2792549,1.812137
ADAMTS4,0.18341300000000002,0.3389775,0.348404,0.16789500000000002,1.4802339999999998,0.529544,0.348453,0.612293
ADAMTS5,0.0864955,0.174656,0.0360264,0.188594,2.3372,0.6158710000000001,0.5370560000000001,0.664647
ADAMTS9,1.1325148000268201,2.4581894600000003,0.6353263,1.09144055,8.2934628,5.6097176,2.1552578000000002,3.5725013
ADAMTSL1,0.2087803,0.5522972503308,0.1601233000753808,19.568916,1.6960136776999999,1.14348248,0.4726435316524001,0.8064138011
ADAMTSL3,2.5982286,4.995941999999999,6.953885,8.0159373,4.1106,3.51355,4.924032,6.654317299999999
ADAP2,0.8915502,2.0026960000000003,1.064282,0.5069543,2.3626658000000003,0.0381907,1.8972360999999998,0.9632223000000002
ADAR,4.5243512,13.941326,13.132855,12.007168,25.256006,5.6167853,10.092778599999997,11.251785999999997
ADARB1,2.7138337999999997,4.180434199999999,1.7008842004157099,3.1428291,4.805975000029712,3.9276215,4.35913130585363,16.808493300000002
ADAT1,1.7472284999999999,6.832726,4.260605,3.2200571,4.407536,4.819395899999999,2.6532918,5.2162757
ADAT2,1.288954,3.6789959999999997,1.367117,1.750764,0.7242029999999999,2.681242,1.707172,3.474549
ADCK2,0.6449275,6.10626,3.018161,0.535741,1.2380559999999998,0.712416,0.9076027000000001,2.2568924999999997
ADCY2,0.7143822,0.8723281,0.8395451,0.6456255,0.82281351,0.6590067,0.7222384999999999,1.665060224058
ADCY3,2.0403467999999996,3.3369405,1.2770644000000002,0.8549730000000001,3.1449455000000004,1.4865441000000001,1.09382082,2.8265502999999996
ADCY4,0.1378259713357,1.5401052,1.2613402499999997,0.309131917,3.2089429450594,3.7840617985008804,1.9964967,1.165603506957
ADCY6,3.991729,5.356722,7.58624,1.7526353,6.030892,1.1478928,6.637845,7.3457462
ADCY9,0.6952687999999999,0.5233333699999999,0.9131652000000001,0.4242982,0.5712885,1.0058398,0.5860264000000001,0.49163599999999996
ADD1,5.5962071,20.298757018176,31.2851046,9.4729219,10.80201500039842,18.5902727,10.6671017,20.825346099999997
ADD2,0.5266909000000001,1.022619,1.6132532000000002,1.5124612999999998,0.39217139999999995,0.07374470000000001,0.14751709999999998,0.8941195599999999
ADD3,13.131480599999998,17.491735999999996,34.449469,14.700939899999998,15.767803199999998,9.7129999,28.255007900000003,15.957074699999998
ADGRA2,0.229751,0.810876,0.500287,0.10851300000000001,2.48172,0.874367,0.790036,0.738694
ADGRA3,3.042048500000001,8.399460000000001,6.1662343,4.1233189999999995,2.4628292,2.1901893,7.711026,5.8175349999999995
